,index,n,r,CI95%,r2,adj_r2,p-val,BF10,power,X,Y,X_covars,Y_covars
69,pearson,11718,0.066,[0.05 0.08],0.004,0.004,1.101981845176496e-12,1.152e+09,1.0,generationtime_m,length_birth_m,"['growth_length_m', 'phi_m']",['division_ratios__f_n_m']
70,pearson,11718,0.067,[0.05 0.08],0.004,0.004,4.1131102766021187e-13,3.031e+09,1.0,generationtime_m,length_birth_m,"['growth_length_m', 'phi_m']",['phi_m']
71,pearson,11718,0.066,[0.05 0.08],0.004,0.004,9.792359413171878e-13,1.294e+09,1.0,generationtime_m,length_birth_m,"['growth_length_m', 'phi_m']","['growth_length_m', 'division_ratios__f_n_m']"
72,pearson,11718,0.067,[0.05 0.08],0.004,0.004,4.06265502197819e-13,3.068e+09,1.0,generationtime_m,length_birth_m,"['growth_length_m', 'phi_m']","['growth_length_m', 'phi_m']"
73,pearson,11718,0.07,[0.05 0.09],0.005,0.005,3.513923533678818e-14,3.399e+10,1.0,generationtime_m,length_birth_m,"['growth_length_m', 'phi_m']","['division_ratios__f_n_m', 'phi_m']"
74,pearson,11718,0.07,[0.05 0.09],0.005,0.005,3.4492210242750966e-14,3.462e+10,1.0,generationtime_m,length_birth_m,"['growth_length_m', 'phi_m']","['growth_length_m', 'division_ratios__f_n_m', 'phi_m']"
75,pearson,11718,0.031,[0.01 0.05],0.001,0.001,0.0007416014032471022,3.427,0.921,generationtime_m,length_birth_m,"['division_ratios__f_n_m', 'phi_m']","['growth_length_m', 'division_ratios__f_n_m', 'phi_m']"
76,pearson,11718,0.044,[0.03 0.06],0.002,0.002,1.7373230960639374e-06,1067.071,0.998,generationtime_m,length_birth_m,"['division_ratios__f_n_m', 'phi_m']",None
77,pearson,11718,-0.031,[-0.05 -0.01],0.001,0.001,0.0009514311008061321,2.72,0.911,generationtime_m,length_birth_m,"['division_ratios__f_n_m', 'phi_m']",['growth_length_m']
78,pearson,11718,0.044,[0.03 0.06],0.002,0.002,1.513048937918726e-06,1218.671,0.998,generationtime_m,length_birth_m,"['division_ratios__f_n_m', 'phi_m']",['division_ratios__f_n_m']
79,pearson,11718,0.05,[0.03 0.07],0.003,0.002,4.516003818730957e-08,3.619e+04,1.0,generationtime_m,length_birth_m,"['division_ratios__f_n_m', 'phi_m']",['phi_m']
80,pearson,11718,-0.029,[-0.05 -0.01],0.001,0.001,0.001510258683953216,1.775,0.887,generationtime_m,length_birth_m,"['division_ratios__f_n_m', 'phi_m']","['growth_length_m', 'division_ratios__f_n_m']"
81,pearson,11718,0.031,[0.01 0.05],0.001,0.001,0.0007020314833303051,3.606,0.924,generationtime_m,length_birth_m,"['division_ratios__f_n_m', 'phi_m']","['growth_length_m', 'phi_m']"
82,pearson,11718,0.051,[0.03 0.07],0.003,0.002,4.371869113631688e-08,3.734e+04,1.0,generationtime_m,length_birth_m,"['division_ratios__f_n_m', 'phi_m']","['division_ratios__f_n_m', 'phi_m']"
